w1,w2,Volume,lw1,lw2
154.704,8.72,2.66E+12,99.3,11.8
150.525,8.946,2.13E+12,102.4,10.4
149.151,8.244,1.13E+13,94.5,9.9
143.109,8.353,1.17E+13,95.9,10
139.37,8.257,2.89E+12,102.4,18.8
127.077,7.602,3.04E+12,99.6,19.9
98.738,4.653,1.96E+13,96,15.9
94.964,5.254,1.32E+13,95.4,10.7
91.158,6.109,1.67E+13,95.6,12.6
88.417,4.289,1.79E+13,96.7,12.6
79.088,3.74,1.95E+13,97.3,16.4
78.391,3.521,1.81E+13,99.9,17.3
76.841,4.783,1.73E+13,97.5,14.4
76.835,3.297,1.76E+13,98.1,19.5
75.401,3.739,1.35E+13,99.3,21
74.701,4.103,5.85E+12,94.6,9.8
74.708,4.087,6.51E+12,96.4,10.2
74.769,3.521,3.00E+13,114.4,22.8
74.14,3.587,1.59E+13,96.2,18.7
73.182,4.45,1.82E+13,96.9,13.1
69.025,3.913,4.46E+12,98.8,9.8
64.127,3.931,7.23E+12,99.2,10.7
64.126,3.913,1.12E+13,97.6,10.7
64.121,3.861,1.14E+13,97.8,11.4
64.124,3.842,7.11E+12,98.3,11.2
59.248,4.065,5.17E+12,101.6,9
58.974,4.045,9.52E+12,106.9,11.1
56.961,3.786,7.51E+12,97.9,15.6
56.202,3.277,2.20E+13,96.4,9.6
50.361,3.277,5.07E+12,99.4,15.7
38.161,3.434,5.33E+12,98.4,15.5
33.643,2.465,1.40E+13,98.6,28.1
33.033,3.075,9.59E+11,100.5,8.1
33.008,3.053,5.09E+13,96.5,9.5
32.059,3.054,4.17E+11,41.8,10.6
29.064,2.153,1.51E+13,96.7,24.4
