"","vPC_num","H_data","C_data"
"1","vPC1","3.27594993045897","56.2022273991655"
"2","vPC2","2.15087799234297","29.0801201565064"
"3","vPC3","2.46378672598511","33.6479171962956"
"4","vPC4","3.05209803023362","33.0076788313737"
"5","vPC5","3.43182997096702","38.1627814337825"
"6","vPC6","3.27578734218724","50.3840376291195"
"7","vPC7","4.44801574671246","73.184095485384"
"8","vPC8","4.28701431578947","88.4143549473684"
"9","vPC9","4.77975240024663","76.8417909803576"
"10","vPC10","6.10479934509733","91.160704566127"
"11","vPC11","3.91244706699063","69.0211793358787"
"12","vPC12","3.78385331416977","56.9619561210687"
"13","vPC13","3.52082332761578","74.7664313893654"
"14","vPC14","8.34858808016878","143.094806962025"
"15","vPC15","3.85767720854242","64.1203632862644"
"16","vPC16","7.59892332382311","127.074982168331"
"17","vPC17","8.23931418964358","149.186689038332"
"18","vPC18","8.71639471654454","154.703832240648"
"19","vPC19","3.91133861162166","64.1274054856497"
"20","vPC20","8.25230339282212","139.349137477937"
"21","vPC21","8.94137719515212","150.525687608212"
"22","vPC22","4.65268955805892","98.7375108318891"
"23","vPC23","3.73974246040356","79.0894013885875"
"24","vPC24","3.52082899179932","78.3916965750121"
"25","vPC25","3.29702167414051","76.834028898854"
"26","vPC26","3.92978823769655","64.1272920155197"
"27","vPC27","3.58692743409032","74.141332550248"
"28","vPC28","3.840204235163","64.1250899972137"
"29","vPC29","3.73856773109244","75.4007445378151"
"30","vPC30","5.25360833333333","94.9657546666667"
"31","vPC31","4.06349982987411","59.2484692072133"
"32","vPC32","4.04374959914484","58.9745828433992"
"33","vPC33","4.08648582089552","74.7074880597015"
"34","vPC34","4.1025497032641","74.6985511869436"
